,medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,TripDistance
3825,CD89A39EA4C16B62DB67FC52C7A37E53,138B0A7B7D3B898E4314A73E45BEA369,VTS,1,,1/13/13 4:08,1/13/13 4:36,5,1680,12.859999999999999,-73.988487000000006,40.748226000000003,-73.839118999999997,40.674126000000001,9.35226951392434
3826,1D452EAF6ABF97FF830B27793689A48D,445F7D20B6187B4CD973C07A595A5584,VTS,1,,1/13/13 4:37,1/13/13 4:40,1,180,0.52000000000000002,-73.921882999999994,40.767207999999997,-73.929001,40.770470000000003,0.4354882532979986
3827,DFD77FAD2F98FC845FE33EBF81BBF0CA,85D8089BDBA9653EDD3F72673555952B,VTS,1,,1/13/13 4:24,1/13/13 4:39,1,900,4.54,-73.986214000000004,40.748451000000003,-73.975159000000005,40.793453,3.1636833514760743
3828,B5FEE89ADD8F36CAE0896474B4CB5522,B2FB102FE53CE925C07C0567BAFB72EE,VTS,1,,1/13/13 4:31,1/13/13 4:37,1,360,1.72,-73.994857999999994,40.731388000000003,-73.990737999999993,40.750221000000003,1.3194027732751477
3829,F3BA458FFB70903630ABF3332CB983F1,53E828672C55E20A154F84C2CB195A2B,VTS,1,,1/13/13 4:35,1/13/13 4:40,6,300,1.3400000000000001,0.0,0.0,0.0,0.0,0.0
3830,4814BAB4D79FBDA2ED80C538D933B0BA,73C3B1BC4DEA91872B32638808BDC3FA,VTS,5,,1/13/13 4:38,1/13/13 4:38,1,0,0.0,0.0,0.0,0.0,0.0,0.0
3831,21B98CAC5B31414B9446D381D38EEC7F,EAF3B43A6D33E6561E2606DE41D32A4F,VTS,1,,1/13/13 10:28,1/13/13 10:36,1,480,1.5700000000000001,-73.945969000000005,40.777656999999998,-73.963607999999994,40.768593000000003,1.1157174099465563
3832,131949A57D5717A3E7112404CCDFF27B,0B2526A18831868606D654A571E23863,VTS,1,,1/13/13 10:31,1/13/13 10:37,1,360,2.5099999999999998,-73.980086999999997,40.734389999999998,-73.957290999999998,40.765456999999998,2.456641612487624
3833,E661B8FDCFC87DBFC9BB6C5F9D393F69,EE6D5C1524E7A23F7135BC55AA4F276E,VTS,1,,1/13/13 10:28,1/13/13 10:37,1,540,2.4300000000000002,-74.003806999999995,40.721207,-73.991821000000002,40.749896999999997,2.079893584742585
3834,97589BDFC2C63459FAD5C7C2A477D1E0,3EB518473E1F3416A5FDB304CF0E1A2D,VTS,1,,1/13/13 10:33,1/13/13 10:40,2,420,2.5800000000000001,-73.994499000000005,40.731997999999997,-73.992217999999994,40.742569000000003,0.7403159070840503
3835,B2AC2DEAE8CFA3F817589DC1E1BF1AE7,D62E53C20464A3D0095D554851A1EAEE,VTS,1,,1/13/13 10:28,1/13/13 10:39,1,660,2.1800000000000002,-73.989632,40.720534999999998,-73.989632,40.720534999999998,0.0
3836,A5D941D4834813EF4C394713A613A93E,A80601BDCC989F498D0EEDF9700EEA92,VTS,1,,1/13/13 10:24,1/13/13 10:40,1,960,10.6,-73.972121999999999,40.755684000000002,-73.870255,40.772781000000002,5.461881527718964
3837,ABC7308241D26C44B33B12283DDC07A3,34F4D4015173FF075479A9CCE4D0E52F,VTS,1,,1/13/13 10:38,1/13/13 10:41,1,180,0.80000000000000004,-73.968697000000006,40.793334999999999,-73.963211000000001,40.801067000000003,0.6066066234367227
3838,7E6C2641E77B0139F0A9586D8444D003,5BFB110252E0AF3432DB3858366017E4,VTS,1,,1/13/13 10:35,1/13/13 10:40,5,300,1.04,-73.981826999999996,40.736809000000001,-73.981139999999996,40.746819000000002,0.6927762400695319
3839,25C7632E1C5EF7337F7AF363984521D2,8563C459B3B0AD353D9989FFB65A90D0,VTS,1,,1/13/13 10:27,1/13/13 10:40,1,780,2.98,-73.982749999999996,40.751170999999999,-73.978156999999996,40.772049000000003,1.4628790918014036
3840,79FF4D63610E140AE001AFA11ECB1160,0D0420D9D73ECE1CD6671DA98A266808,VTS,1,,1/13/13 10:29,1/13/13 10:40,4,660,2.6299999999999999,-73.982680999999999,40.768433000000002,-73.990288000000007,40.737343000000003,2.1853854257819108
3841,C31D40E9DF88F6A5D567067EEADB073E,58CAE05031346CDB9D01EAF8DDBD43D3,VTS,1,,1/13/13 10:33,1/13/13 10:38,1,300,0.98999999999999999,-73.962211999999994,40.776305999999998,-73.951813000000001,40.781711999999999,0.6601563625573155
3842,EA8134D51D258F98C4A67A7A982604BD,272CA96BFD86C13C7B526EF41137D9B7,VTS,1,,1/13/13 10:23,1/13/13 10:40,1,1020,6.21,-73.949623000000003,40.777065,-73.998610999999997,40.726460000000003,4.337244315181971
3843,78A626B7A26C2BEDED59C75BB28373A5,F91D169C05AE49338B5AE940CAB87457,VTS,1,,1/13/13 4:12,1/13/13 4:39,5,1620,8.6600000000000001,-73.993224999999995,40.751922999999998,-73.978279000000001,40.685020000000002,4.689817432745593
3844,AEAF9AA9B14A582B207FE045A358064E,9FE900B44DF616CB29231AAF76A62820,VTS,1,,1/13/13 4:35,1/13/13 4:40,2,300,1.02,-73.985893000000004,40.669719999999998,-73.983199999999997,40.677512999999998,0.556805215574541
3845,E42EEC901684486BF59D6E5F5CFE65AC,95AC3B53F1DE83151F489FEBCB499781,VTS,1,,1/13/13 4:37,1/13/13 4:40,2,180,1.3600000000000001,-74.006568999999999,40.743716999999997,-73.994658999999999,40.756045999999998,1.055927200624504
3846,7CC2C787A937EE1F874D2FFD6BBCD2F0,0758FB6257076E88C3B61B17182D4505,VTS,1,,1/13/13 4:33,1/13/13 4:41,5,480,2.2200000000000002,-73.991057999999995,40.750228999999997,-73.980300999999997,40.765503000000002,1.1964841784143287
3847,CBA8C449382F10A355CF0D38CBDCB867,D068EEE473E74D8594339CC08CDE56F4,VTS,1,,1/13/13 4:30,1/13/13 4:40,1,600,2.5,-73.956924000000001,40.716576000000003,-73.908896999999996,40.701740000000001,2.717106546403925
3848,D3D055476B49E90E47BD255A23AFAFBE,85080EB169FADC0DCAF5D7135F0D018F,VTS,1,,1/13/13 4:31,1/13/13 4:40,2,540,3.5,-73.992324999999994,40.720950999999999,-73.982917999999998,40.756317000000003,2.493470095209999
3849,EB2020681F1B1B72375923FD0F8A73C6,3314116E3166658C6B53B1AAAC1008ED,VTS,1,,1/13/13 4:34,1/13/13 4:41,1,420,3.0099999999999998,-73.965416000000005,40.762847999999998,-73.985764000000003,40.731216000000003,2.4320488519218255
3850,C30B82408DD8D5EF17A081494009A1A4,F2037A2C54652EFFB7CEAD7A0D91AA8B,VTS,1,,1/13/13 4:33,1/13/13 4:40,1,420,2.1800000000000002,-73.970519999999993,40.751682000000002,-73.979682999999994,40.772888000000002,1.54215150023628
3851,0E8E3201DCA085A0C37AB1F423CFDAF4,0C4316381A9E90B7A8CF787FCDA9566F,VTS,1,,1/13/13 4:25,1/13/13 4:42,1,1020,4.1299999999999999,-73.963310000000007,40.716712999999999,-73.901122999999998,40.700561999999998,3.444005170675684
3852,49CE3D1A9B94C392A2CB970E95DEEE8B,A6FCD81D70DA799F52D2CF7A54A09E90,VTS,1,,1/13/13 4:32,1/13/13 4:41,5,540,2.1899999999999999,-73.943084999999996,40.836680999999999,-73.941306999999995,40.813648000000001,1.5946402556570924
3853,39F10D02E9946C5E725F0FB53E755F33,B72CF0A9D249980C313835AD40D6C1C0,VTS,1,,1/13/13 4:18,1/13/13 4:39,2,1260,6.5800000000000001,-73.998031999999995,40.740631,-73.915572999999995,40.765906999999999,4.657322593224656
3854,EDFF571B9882AAF054750C6315F0AD4E,22A376E7A89C684F163AC0A709B70DFF,VTS,1,,1/13/13 4:39,1/13/13 4:43,5,240,1.1899999999999999,-73.965630000000004,40.691940000000002,-73.962249999999997,40.685608000000002,0.4721260955232408
3855,C406A8BDF5B6837E099BD8F4E7148B5F,6FE9B0367E43B37A2F2010F43776A5E8,VTS,1,,1/13/13 4:32,1/13/13 4:40,1,480,2.5299999999999998,-73.990493999999998,40.736870000000003,-73.976776000000001,40.762718,1.9254700200542982
3856,3C08296D0EB7ABE24FB7328DE9B62813,7ECCE730BB2BD57BC0DD1C7C6C683BF4,VTS,1,,1/13/13 4:33,1/13/13 4:42,3,540,3.4700000000000002,-73.987510999999998,40.721153000000001,-73.950935000000001,40.689957,2.8846637033745965
3857,D5C7CD37EA4D372D00F0A681CDC93F11,5BAFA67E50E8A2AE7084D64F4643C5EC,VTS,1,,1/13/13 4:24,1/13/13 4:38,5,840,4.0,-73.940101999999996,40.709167000000001,-73.982535999999996,40.695984000000003,2.4028423218362502
3858,551A6129F0AA6FB08CD86DB622EC0583,F5977A029038839EBDEAE7F0BDB41A07,VTS,1,,1/13/13 4:24,1/13/13 4:41,6,1020,6.7000000000000002,-73.997771999999998,40.761333,-73.937866,40.823104999999998,5.29655375028498
3859,55926285A4B50F9966514CA4B7609CA1,D93AF7181648E7DE3205F301BA1F1CA0,VTS,1,,1/13/13 4:37,1/13/13 4:41,3,240,1.9299999999999999,-73.982467999999997,40.731490999999998,-73.965118000000004,40.755172999999999,1.8720226212743794
3860,00FB3D49C3DE5E00247421028A43A731,772579235AA7686FAC4FA8C8BEA658D4,VTS,1,,1/13/13 4:27,1/13/13 4:41,2,840,4.3099999999999996,-74.001129000000006,40.731667000000002,-73.955894000000001,40.768653999999998,3.484905488348753
3861,306F8309AA2509BD24FD0A3688DD4A88,CF99E03B0D04364A5FFA4F08B0535217,VTS,1,,1/13/13 4:33,1/13/13 4:40,1,420,2.9100000000000001,-73.952820000000003,40.783256999999999,-73.980293000000003,40.753642999999997,2.5014604650198855
3862,7CA54C91904E6E0D9A538559BE136E10,0A8E872674B7A77C776380A36B64A3C0,VTS,1,,1/13/13 4:17,1/13/13 4:40,1,1380,6.0499999999999998,-73.987746999999999,40.722771000000002,-73.979584000000003,40.786414999999998,4.419470503475569
3863,963629F58EAB79A747869FC8672AF50E,7BB94FB4F45F237B28FCF6D61BF0AE49,VTS,1,,1/13/13 4:32,1/13/13 4:44,5,720,4.7400000000000002,-74.006416000000002,40.737102999999998,-73.947288999999998,40.779662999999999,4.270179338272355
3864,EEF74FCDAC3A582F219C2FE61C62A24D,F35CE94EBE7760858FFFD4E07466CAA7,VTS,1,,1/13/13 4:15,1/13/13 4:48,2,1980,13.140000000000001,-73.982429999999994,40.751410999999997,-74.035690000000002,40.638786000000003,8.26929898897847
3865,7FB70F83E2C7A088F04069C8FD48D8EC,E0E64DC38C165125AF62D7C6598E0202,VTS,1,,1/13/13 4:43,1/13/13 4:48,1,300,1.21,-73.964088000000004,40.680228999999997,-73.974632,40.675685999999999,0.6356384635472995
3866,9786E56B89705E96F375715B844D2336,ED506323B59B1F55738077387121AA13,VTS,1,,1/13/13 4:30,1/13/13 4:48,1,1080,6.46,-73.985152999999997,40.753489999999999,-73.883262999999999,40.755783000000001,5.336853361180987
3867,922EFFD83A639FEB38CC41E0BB716DB5,195A9869686762039ED8FFA49AAD4461,VTS,2,,1/13/13 4:20,1/13/13 4:49,1,1740,19.609999999999999,-74.004081999999997,40.707473999999998,-73.786368999999993,40.645144999999999,12.19790218579169
3868,A49C37EB966E7B05E69523D1CB7BE303,CA63EB3459FD5D97D4434EAFDE224898,VTS,1,,1/13/13 4:47,1/13/13 4:50,3,180,1.3200000000000001,-73.992378000000002,40.758583000000002,-74.003433000000001,40.743510999999998,1.1917116359807132
3869,DA1DB7BE74F5FC5E9F5181A562DC312E,C9DEC05B78F3241BC28A15479A166D4F,VTS,1,,1/13/13 10:23,1/13/13 10:29,1,360,1.6100000000000001,-73.952804999999998,40.766632000000001,-73.971214000000003,40.760635000000001,1.0490368606833347
3870,88AB2A0A2B7E5AEF8D6BB70F727C3B38,25A1495677B97C55FD3534A692121AE6,VTS,1,,1/13/13 10:26,1/13/13 10:30,2,240,1.3600000000000001,-73.999427999999995,40.718688999999998,-73.989609000000002,40.735976999999998,1.300840502061828
3871,834DBD712775DC97F361886D81DD2D67,5D5E5B94F9FEE1671958BD65635FBCDD,VTS,1,,1/13/13 10:23,1/13/13 10:30,6,420,1.72,-74.008812000000006,40.718680999999997,-73.991951,40.725628,1.005272756032249
3872,35B72CF9DB59B261991A8AD87C7471E3,1C4F0C1DF3A146AD043CC073AC09A8D2,VTS,1,,1/13/13 10:25,1/13/13 10:30,5,300,0.78000000000000003,-73.971480999999997,40.795611999999998,-73.970528000000002,40.787787999999999,0.5430504851386927
3873,F13B673C0685207219E6D7F57A02EF3E,C41DDF8718C71AFA2C151BD6EAD0520D,VTS,1,,1/13/13 10:18,1/13/13 10:29,1,660,2.6299999999999999,-73.978324999999998,40.788288000000001,-73.991501,40.757922999999998,2.2090855501576545
3874,E9ACD076FF53336D7C6793D9A8174D17,C4F159F5CAA2B3557016D46BA32E8475,VTS,1,,1/13/13 10:28,1/13/13 10:33,5,300,0.91000000000000003,-73.971619000000004,40.785781999999998,-73.978020000000001,40.778571999999997,0.6004494961034357
3875,11FF9D3AAA55F9553717C2B491340E8E,A6387D11C2B7049BE0D1D7B0AD2C8562,VTS,1,,1/13/13 10:30,1/13/13 10:36,1,360,1.3899999999999999,-73.97963,40.776474,-73.968818999999996,40.764476999999999,1.003866776624213
3876,53796D7A77A1318785653D211B5B1F88,C53FF6D83CF28D82EF63E7367C26C956,VTS,1,,1/13/13 10:22,1/13/13 10:34,1,720,2.02,-73.963425000000001,40.757770999999998,-73.990516999999997,40.771576000000003,1.7092872081135109
3877,44E29F29B48F917672E02109C935709B,F37DCC403AC14C897DEF66219E5476C1,VTS,1,,1/13/13 10:30,1/13/13 10:33,1,180,0.91000000000000003,-73.968322999999998,40.770943000000003,-73.981926000000001,40.773327000000002,0.7308208552610137
3878,C41A7FA97B7C694620442621FC8D8127,385B8EAA19DF9D28B84ACB4EF297C566,VTS,1,,1/13/13 10:26,1/13/13 10:33,3,420,1.96,-73.964737,40.795135000000002,-73.979384999999994,40.773476000000002,1.6818181978157494
3879,05296CB5EF8FD032301A53748CA26243,CDCE28258D080D857AE747B80363AD89,VTS,1,,1/13/13 10:14,1/13/13 10:35,2,1260,9.1999999999999993,-73.870918000000003,40.773772999999998,-73.971457999999998,40.788871999999998,5.364195039644615
3880,EB1210417C9AF20D368EA495EE4A55E4,88EE3648A0D37B7CABE03BF9F86855A6,VTS,1,,1/13/13 10:33,1/13/13 10:35,1,120,0.42999999999999999,-73.975853000000001,40.785556999999997,-73.977683999999996,40.786853999999998,0.1312123822412673
3881,3436B7836A1960675AFD7752CE4BF0D8,006B6BD90C7B5C98599FBF541D056513,VTS,1,,1/13/13 10:28,1/13/13 10:33,1,300,1.3200000000000001,-73.982078999999999,40.776080999999998,-73.972983999999997,40.789935999999997,1.0693566778136534
3882,F30C0E1AD3FCC86FFC1D45E69419D0EA,06DEC4E4484FA5B88D1B4A16049B40AF,VTS,1,,1/13/13 10:15,1/13/13 10:36,1,1260,4.9800000000000004,-73.980614000000003,40.782085000000002,-73.990882999999997,40.724376999999997,4.024565167044179
